longitud,latitud,concepto
-58.441327693639991,-34.578291584109373,CUIDACOCHES NO REGISTRADOS
-58.402720044049971,-34.584471649140518,CUIDACOCHES NO REGISTRADOS
-58.429270334524105,-34.586762465455081,CUIDACOCHES NO REGISTRADOS
-58.440726580523886,-34.58469174206671,CUIDACOCHES NO REGISTRADOS
-58.503815788578414,-34.660852127819282,CUIDACOCHES NO REGISTRADOS
-58.418558558937299,-34.581584765426641,CUIDACOCHES NO REGISTRADOS
-58.362047992149478,-34.634606476001281,CUIDACOCHES NO REGISTRADOS
-58.456113542320196,-34.625096185941501,CUIDACOCHES NO REGISTRADOS
-58.37697758069308,-34.592965917615331,CUIDACOCHES NO REGISTRADOS
-58.48249232695958,-34.620596574342784,CUIDACOCHES NO REGISTRADOS
-58.484730816315974,-34.574613565406331,CUIDACOCHES NO REGISTRADOS
-58.402637342186729,-34.57822459046956,CUIDACOCHES NO REGISTRADOS
-58.419072379046462,-34.599451576732363,CUIDACOCHES NO REGISTRADOS
-58.434103712468222,-34.604675378240671,CUIDACOCHES NO REGISTRADOS
-58.45018050376077,-34.557866007631183,CUIDACOCHES NO REGISTRADOS
-58.449014735220899,-34.557207824544165,CUIDACOCHES NO REGISTRADOS
-58.412431147061326,-34.62125488809955,CUIDACOCHES NO REGISTRADOS
-58.443011729173932,-34.554385467040532,CUIDACOCHES NO REGISTRADOS
-58.375489181669515,-34.598625926721688,CUIDACOCHES NO REGISTRADOS
-58.434061408129864,-34.569104351910632,CUIDACOCHES NO REGISTRADOS
-58.389684339634769,-34.584347358723377,CUIDACOCHES NO REGISTRADOS
-58.461752065038382,-34.560841427638444,CUIDACOCHES NO REGISTRADOS
-58.461654052471474,-34.556424326080084,CUIDACOCHES NO REGISTRADOS
-58.526423303762932,-34.639149364625432,CUIDACOCHES NO REGISTRADOS
-58.416072278174688,-34.583873512391243,CUIDACOCHES NO REGISTRADOS
-58.387873079779688,-34.635124450298306,CUIDACOCHES NO REGISTRADOS
-58.428255827302195,-34.615166646524592,CUIDACOCHES NO REGISTRADOS
-58.370247505149031,-34.616605825281617,CUIDACOCHES NO REGISTRADOS
-58.358170065100609,-34.630915432747415,CUIDACOCHES NO REGISTRADOS
-58.429181557798046,-34.590692739692287,CUIDACOCHES NO REGISTRADOS
-58.393315199487795,-34.595860919909519,CUIDACOCHES NO REGISTRADOS
-58.512684709297311,-34.601828947248912,CUIDACOCHES NO REGISTRADOS
-58.512302753756593,-34.603000978420248,CUIDACOCHES NO REGISTRADOS
-58.467183452919528,-34.633025336338292,CUIDACOCHES NO REGISTRADOS
-58.426527304958313,-34.578170907208658,CUIDACOCHES NO REGISTRADOS
-58.43042083683374,-34.571185786979804,CUIDACOCHES NO REGISTRADOS
-58.43042083683374,-34.571185786979804,CUIDACOCHES NO REGISTRADOS
-58.46408036500501,-34.54468743948695,CUIDACOCHES NO REGISTRADOS
-58.461218210216657,-34.556884060775928,CUIDACOCHES NO REGISTRADOS
-58.501416276297817,-34.666786148695302,CUIDACOCHES NO REGISTRADOS
-58.449308960658634,-34.556991509325094,CUIDACOCHES NO REGISTRADOS
-58.430631446165847,-34.590314522666674,CUIDACOCHES NO REGISTRADOS
-58.526265366792238,-34.642282841352831,CUIDACOCHES NO REGISTRADOS
-58.398392023792425,-34.585659352826681,CUIDACOCHES NO REGISTRADOS
-58.400359429184618,-34.59293503002074,CUIDACOCHES NO REGISTRADOS
-58.467664140683681,-34.646955225253613,CUIDACOCHES NO REGISTRADOS
-58.426327107218427,-34.587401649620126,CUIDACOCHES NO REGISTRADOS
-58.383112020025294,-34.618552992418586,CUIDACOCHES NO REGISTRADOS
-58.369748416912863,-34.624159509711149,CUIDACOCHES NO REGISTRADOS
-58.385474267394386,-34.599227606842476,CUIDACOCHES NO REGISTRADOS
-58.488321673323199,-34.574261300245183,CUIDACOCHES NO REGISTRADOS
-58.488408905923407,-34.574414527856142,CUIDACOCHES NO REGISTRADOS
-58.407394039169951,-34.587331437174292,CUIDACOCHES NO REGISTRADOS
-58.406566944677003,-34.61780882992003,CUIDACOCHES NO REGISTRADOS
-58.426440080230101,-34.578252011483471,CUIDACOCHES NO REGISTRADOS
-58.419268202936422,-34.579277318718091,CUIDACOCHES NO REGISTRADOS
-58.464854231531234,-34.55902949994011,CUIDACOCHES NO REGISTRADOS
-58.460824334425659,-34.629125781706918,CUIDACOCHES NO REGISTRADOS
-58.405674258136045,-34.599770570311037,CUIDACOCHES NO REGISTRADOS
-58.410272015296073,-34.586683667194187,CUIDACOCHES NO REGISTRADOS
-58.391600971075285,-34.599114142908952,CUIDACOCHES NO REGISTRADOS
-58.4238773648433,-34.581523471947563,CUIDACOCHES NO REGISTRADOS
-58.458297933288542,-34.560156250823148,CUIDACOCHES NO REGISTRADOS
-58.431281422057843,-34.572087458678673,CUIDACOCHES NO REGISTRADOS
-58.503113105825314,-34.665117946645253,CUIDACOCHES NO REGISTRADOS
-58.442799664178544,-34.621290665492694,CUIDACOCHES NO REGISTRADOS
-58.396516388922471,-34.586785156154683,CUIDACOCHES NO REGISTRADOS
-58.467304975856976,-34.602010372500821,CUIDACOCHES NO REGISTRADOS
-58.392366502063162,-34.583294243030302,CUIDACOCHES NO REGISTRADOS
-58.43701342062019,-34.608462081949369,CUIDACOCHES NO REGISTRADOS
-58.460607959226031,-34.560075181859325,CUIDACOCHES NO REGISTRADOS
-58.421604968832497,-34.614578650989337,CUIDACOCHES NO REGISTRADOS
-58.421965412139009,-34.613289711418751,CUIDACOCHES NO REGISTRADOS
-58.422227488842331,-34.612469487301432,CUIDACOCHES NO REGISTRADOS
-58.420515326823171,-34.61319006012782,CUIDACOCHES NO REGISTRADOS
-58.421867220874809,-34.613415880328979,CUIDACOCHES NO REGISTRADOS
-58.411834525448455,-34.580383225594609,CUIDACOCHES NO REGISTRADOS
-58.45733909997579,-34.559462096786696,CUIDACOCHES NO REGISTRADOS
-58.414088802458004,-34.602208108060822,CUIDACOCHES NO REGISTRADOS
-58.464129725296218,-34.627944902924511,CUIDACOCHES NO REGISTRADOS
-58.442293841973481,-34.549382301050997,CUIDACOCHES NO REGISTRADOS
-58.384134384735674,-34.598172063303487,CUIDACOCHES NO REGISTRADOS
-58.475361616217448,-34.624924433160025,CUIDACOCHES NO REGISTRADOS
-58.408363961278042,-34.621063841944043,CUIDACOCHES NO REGISTRADOS
-58.454440439440319,-34.562076136658661,CUIDACOCHES NO REGISTRADOS
-58.415755270012653,-34.604895058895032,CUIDACOCHES NO REGISTRADOS
-58.459354792654537,-34.562292717895225,CUIDACOCHES NO REGISTRADOS
-58.435554243280542,-34.569483300967924,CUIDACOCHES NO REGISTRADOS
-58.428332152970711,-34.588700311130893,CUIDACOCHES NO REGISTRADOS
-58.460520790007706,-34.560021093399008,CUIDACOCHES NO REGISTRADOS
-58.411736379660766,-34.580473329231609,CUIDACOCHES NO REGISTRADOS
-58.461009733576859,-34.628720136983894,CUIDACOCHES NO REGISTRADOS
-58.39712677102245,-34.586794500083933,CUIDACOCHES NO REGISTRADOS
-58.438174221304379,-34.55393386626158,CUIDACOCHES NO REGISTRADOS
-58.455410963265507,-34.553737793001297,CUIDACOCHES NO REGISTRADOS
-58.373049260996574,-34.617067650848952,CUIDACOCHES NO REGISTRADOS
-58.459965085279514,-34.559786705489081,CUIDACOCHES NO REGISTRADOS
-58.460509891323404,-34.560111238096212,CUIDACOCHES NO REGISTRADOS
-58.419380348517457,-34.594196271456497,CUIDACOCHES NO REGISTRADOS
-58.373612278417987,-34.620791009790956,CUIDACOCHES NO REGISTRADOS
-58.46066244020966,-34.560102226248318,CUIDACOCHES NO REGISTRADOS
-58.399236398951984,-34.593286014252186,CUIDACOCHES NO REGISTRADOS
-58.465520195269249,-34.629651302270965,CUIDACOCHES NO REGISTRADOS
-58.371066664888353,-34.625269277006304,CUIDACOCHES NO REGISTRADOS
-58.469421721495003,-34.624293897530052,CUIDACOCHES NO REGISTRADOS
-58.418652745087904,-34.609637723412249,CUIDACOCHES NO REGISTRADOS
-58.426577910066776,-34.587158334005004,CUIDACOCHES NO REGISTRADOS
-58.431053068384479,-34.570762272314226,CUIDACOCHES NO REGISTRADOS
-58.439496843589112,-34.617017255625498,CUIDACOCHES NO REGISTRADOS
-58.371838568424522,-34.587382260739531,CUIDACOCHES NO REGISTRADOS
-58.446019603617792,-34.550915332501248,CUIDACOCHES NO REGISTRADOS
-58.43983485037537,-34.617053377064373,CUIDACOCHES NO REGISTRADOS
-58.43862433687049,-34.617729224488556,CUIDACOCHES NO REGISTRADOS
-58.420375007524008,-34.588896128714175,CUIDACOCHES NO REGISTRADOS
-58.401241900691524,-34.59358451719639,CUIDACOCHES NO REGISTRADOS
-58.370510090859987,-34.615794727811434,CUIDACOCHES NO REGISTRADOS
-58.448272087216118,-34.567186775012672,CUIDACOCHES NO REGISTRADOS
-58.403667555265663,-34.585526801842704,CUIDACOCHES NO REGISTRADOS
-58.378770887209129,-34.641557490896574,CUIDACOCHES NO REGISTRADOS
-58.403158345713024,-34.596497130065643,CUIDACOCHES NO REGISTRADOS
-58.369960900850884,-34.619400071539737,CUIDACOCHES NO REGISTRADOS
-58.370758457394629,-34.608096610499999,CUIDACOCHES NO REGISTRADOS
-58.420211423626832,-34.589058331892282,CUIDACOCHES NO REGISTRADOS
-58.442303751468685,-34.553420799524538,CUIDACOCHES NO REGISTRADOS
-58.410947417037001,-34.587305952386217,CUIDACOCHES NO REGISTRADOS
-58.435264305384052,-34.589576467669538,CUIDACOCHES NO REGISTRADOS
-58.412755588543959,-34.589325941710086,CUIDACOCHES NO REGISTRADOS
-58.469392281656006,-34.624329956725546,CUIDACOCHES NO REGISTRADOS
-58.436791917532382,-34.619567787159006,CUIDACOCHES NO REGISTRADOS
-58.441098711290145,-34.620821627413065,CUIDACOCHES NO REGISTRADOS
-58.428330976291342,-34.591557889610776,CUIDACOCHES NO REGISTRADOS
-58.42804934261337,-34.587275948478542,CUIDACOCHES NO REGISTRADOS
