Clase,lat,lng
SU,-34.661139,-58.512903
SU,-34.611057,-58.512880
SU,-34.611057,-58.512880
SU,-34.594952,-58.512826
SU,-34.595822,-58.512742
SU,-34.595822,-58.512742
SU,-34.659981,-58.512711
SU,-34.659981,-58.512711
SU,-34.659981,-58.512711
SU,-34.590012,-58.512640
SU,-34.625219,-58.512563
SU,-34.625219,-58.512563
SU,-34.625219,-58.512563
SU,-34.649446,-58.512546
OF,-34.640606,-58.512474
SU,-34.620830,-58.512451
SU,-34.661496,-58.512397
OF,-34.639213,-58.512297
SU,-34.631940,-58.512276
DI,-34.584332,-58.512231
SU,-34.630278,-58.512035
SU,-34.584584,-58.512003
SU,-34.640340,-58.511957
SU,-34.631745,-58.511935
SU,-34.631745,-58.511935
SU,-34.614744,-58.511932
SU,-34.614744,-58.511932
SU,-34.589568,-58.511927
SU,-34.619174,-58.511823
OF,-34.642677,-58.511823
DI,-34.619174,-58.511823
SU,-34.582399,-58.511812
SU,-34.582399,-58.511812
SU,-34.577986,-58.511764
SU,-34.577986,-58.511764
SU,-34.643664,-58.511710
SU,-34.605883,-58.511709
SU,-34.646724,-58.511662
SU,-34.646724,-58.511662
SU,-34.633204,-58.511616
SU,-34.644002,-58.511543
SU,-34.629529,-58.511416
SU,-34.622473,-58.511388
SU,-34.622473,-58.511388
SU,-34.622473,-58.511388
SU,-34.582948,-58.511314
SU,-34.586626,-58.511263
SU,-34.595468,-58.511261
SU,-34.589913,-58.511246
SU,-34.589913,-58.511246
SU,-34.647240,-58.511221
DI,-34.585568,-58.511112
SU,-34.660377,-58.511040
SU,-34.618441,-58.511010
RE,-34.644421,-58.510978
SU,-34.626868,-58.510970
SU,-34.633937,-58.510904
SU,-34.624213,-58.510902
SU,-34.650099,-58.510901
SU,-34.586392,-58.510885
SU,-34.633773,-58.510880
SU,-34.602951,-58.510847
SU,-34.608639,-58.510763
SU,-34.608639,-58.510763
SU,-34.608639,-58.510763
SU,-34.655267,-58.510657
SU,-34.589799,-58.510587
SU,-34.632987,-58.510573
OP,-34.649641,-58.510557
SU,-34.663879,-58.510551
SU,-34.616854,-58.510539
SU,-34.616854,-58.510539
SU,-34.624549,-58.510535
SU,-34.600525,-58.510495
DI,-34.619707,-58.510377
SU,-34.586343,-58.510302
SU,-34.655531,-58.510283
SU,-34.633487,-58.510271
SU,-34.641363,-58.510207
SU,-34.625367,-58.510081
DI,-34.620563,-58.510077
SU,-34.614988,-58.510053
SU,-34.662213,-58.510035
SU,-34.646610,-58.510004
SU,-34.621166,-58.510001
SU,-34.646578,-58.509915
SU,-34.612157,-58.509914
SU,-34.596093,-58.509876
SU,-34.642948,-58.509823
SU,-34.655918,-58.509801
SU,-34.591544,-58.509770
SU,-34.591544,-58.509770
SU,-34.645004,-58.509737
SU,-34.629768,-58.509702
SU,-34.644921,-58.509644
SU,-34.611085,-58.509559
SU,-34.576439,-58.509394
OP,-34.627542,-58.509359
SU,-34.619482,-58.509334
SU,-34.586730,-58.509318
SU,-34.622833,-58.509278
SU,-34.622833,-58.509278
SU,-34.658753,-58.509262
SU,-34.621746,-58.509246
SU,-34.576605,-58.509244
SU,-34.623749,-58.509196
SU,-34.623937,-58.509187
SU,-34.623937,-58.509187
SU,-34.635411,-58.509176
SU,-34.623800,-58.509131
SU,-34.654147,-58.509102
SU,-34.632384,-58.509037
SU,-34.659274,-58.508922
SU,-34.584497,-58.508895
SU,-34.664962,-58.508826
RE,-34.664962,-58.508826
SU,-34.583580,-58.508821
SU,-34.624192,-58.508718
SU,-34.628841,-58.508670
SU,-34.649268,-58.508625
SU,-34.644852,-58.508570
SU,-34.644852,-58.508570
SU,-34.622267,-58.508568
SU,-34.583711,-58.508400
SU,-34.583711,-58.508400
SU,-34.628372,-58.508379
SU,-34.628372,-58.508379
SU,-34.595374,-58.508335
SU,-34.638924,-58.508318
DI,-34.595744,-58.508248
SU,-34.610308,-58.508243
SU,-34.596823,-58.508159
SU,-34.596823,-58.508159
SU,-34.630068,-58.508084
SU,-34.622840,-58.507952
SU,-34.622840,-58.507952
SU,-34.594536,-58.507944
SU,-34.627887,-58.507700
SU,-34.654174,-58.507622
SU,-34.613553,-58.507478
SU,-34.637663,-58.507441
SU,-34.648565,-58.507427
SU,-34.594150,-58.507327
SU,-34.594150,-58.507327
SU,-34.625878,-58.507222
SU,-34.625878,-58.507222
SU,-34.622791,-58.507202
SU,-34.622791,-58.507202
SU,-34.596108,-58.507118
SU,-34.614093,-58.506963
SU,-34.627818,-58.506890
SU,-34.616225,-58.506871
SU,-34.608377,-58.506852
SU,-34.608377,-58.506852
SU,-34.608377,-58.506852
SU,-34.608377,-58.506852
SU,-34.622385,-58.506848
SU,-34.583888,-58.506826
